	a1	a2	a3	a5	a6	a7	Label
0	42	35	48	58	15	27	0
1	23	33	48	43	33	43	0
2	37	52	48	42	42	36	0
3	29	3	48	45	3	17	0
4	22	36	48	35	39	47	0
5	23	58	48	37	53	59	0
6	47	47	48	22	16	26	0
7	54	47	48	28	33	42	0
8	51	37	48	35	36	45	0
9	4	35	48	45	33	42	0
10	44	34	48	3	33	43	0
11	42	38	48	54	34	43	0
12	44	56	48	5	46	54	0
13	52	36	48	41	28	38	0
14	36	41	48	48	47	54	0
15	18	3	48	46	24	35	0
16	47	29	48	51	33	43	0
17	24	43	48	54	52	59	0
18	25	37	48	41	33	42	0
19	52	57	48	42	47	54	0
20	25	37	48	43	26	36	0
21	35	48	48	56	4	48	0
22	26	26	48	34	25	35	0
23	44	51	48	47	26	36	0
24	37	5	48	42	36	45	0
25	44	42	48	42	25	2	0
26	24	43	48	37	28	38	0
27	42	3	48	48	26	36	0
28	48	42	48	45	25	35	0
29	41	48	48	51	44	51	0
30	44	28	48	43	27	37	0
31	29	41	48	48	38	46	0
32	34	28	48	41	35	44	0
33	41	43	48	45	31	41	0
34	29	47	48	41	23	34	0
35	34	55	48	58	31	41	0
36	36	56	48	43	45	53	0
37	4	46	48	52	49	56	0
38	5	49	48	49	46	53	0
39	52	44	48	37	36	42	0
40	5	51	48	27	23	34	0
41	53	42	48	16	29	39	0
42	34	46	48	52	35	44	0
43	4	42	48	37	27	27	0
44	41	43	48	5	24	25	0
45	3	45	48	36	21	32	0
46	31	47	48	29	28	39	0
47	64	76	48	45	35	38	0
48	35	37	48	3	34	43	0
49	57	54	48	37	28	33	0
50	65	55	48	34	37	28	0
51	51	46	48	58	31	41	0
52	38	4	48	63	25	35	0
53	24	57	48	63	34	43	0
54	38	26	48	54	16	28	0
55	33	47	48	53	18	29	0
56	24	34	48	38	3	4	0
57	26	5	48	44	32	41	0
58	44	49	48	39	38	4	0
59	43	32	48	33	45	52	0
60	49	43	48	49	3	4	0
61	47	28	48	56	2	25	0
62	32	33	48	6	6	2	0
63	34	35	48	51	49	56	0
64	35	34	48	46	3	27	0
65	38	3	48	43	29	39	0
66	38	44	48	43	2	31	0
67	41	51	48	58	2	31	0
68	34	42	48	41	34	43	0
69	51	49	48	53	14	26	0
70	25	51	48	37	42	5	0
71	29	28	48	5	42	5	0
72	25	26	48	39	32	42	0
73	24	41	48	49	23	34	0
74	17	39	48	53	3	39	0
75	4	31	48	41	29	39	0
76	61	36	48	49	35	44	0
77	34	51	48	44	37	46	0
78	28	33	48	45	22	33	0
79	4	46	48	42	35	44	0
80	23	34	48	43	26	37	0
81	37	44	48	42	39	47	0
82	0	38	48	42	48	55	0
83	39	31	48	38	34	43	0
84	3	44	48	49	22	33	0
85	27	3	48	71	28	39	0
86	17	52	48	49	37	46	0
87	36	42	48	53	32	41	0
88	3	37	48	43	18	3	0
89	26	4	48	36	26	37	0
90	4	41	48	55	22	33	0
91	22	34	48	42	29	39	0
92	44	35	48	44	52	59	0
93	27	42	48	37	38	43	0
94	16	43	48	54	27	37	0
95	6	61	48	49	92	37	0
96	44	52	48	43	47	54	0
97	63	47	48	51	82	84	0
98	23	48	48	59	88	89	0
99	34	49	48	58	85	8	0
100	43	4	48	58	75	78	0
101	46	61	48	48	86	87	0
102	27	35	48	51	77	79	0
103	52	39	48	65	71	73	0
104	29	47	48	71	65	69	0
105	55	47	48	57	78	8	0
106	12	67	48	74	58	63	0
107	4	5	48	65	82	84	0
108	73	36	48	53	91	92	0
109	84	44	48	48	71	74	0
110	48	45	48	6	78	8	0
111	54	49	48	4	87	88	0
112	48	41	48	51	9	88	0
113	5	66	48	31	92	92	0
114	72	46	48	51	66	7	0
115	47	55	48	58	71	75	0
116	33	56	48	33	78	8	0
117	64	58	48	48	78	73	0
118	54	57	48	56	81	83	0
119	47	59	48	52	76	79	0
120	63	5	48	59	85	86	0
121	49	42	48	53	79	81	0
122	31	5	48	57	84	85	0
123	74	44	48	55	88	89	0
124	33	45	48	45	88	89	0
125	45	4	48	61	74	77	0
126	71	4	48	71	7	74	0
127	5	37	48	66	64	69	0
128	66	53	48	59	66	66	0
129	6	61	48	54	67	71	0
130	83	37	48	61	71	74	0
131	34	51	48	67	9	9	0
132	63	54	48	65	79	81	0
133	7	4	48	56	86	83	0
134	6	5	1	54	77	8	0
135	16	51	48	33	39	48	0
136	74	7	48	66	65	69	0
137	2	46	48	57	78	81	0
138	89	55	48	51	72	76	0
139	7	46	48	56	78	73	0
140	12	43	48	63	7	74	0
141	61	52	48	54	67	52	0
142	33	37	48	46	65	69	0
143	63	65	48	66	67	71	0
144	41	51	48	53	75	78	0
145	34	67	48	52	76	79	0
146	58	34	48	56	87	81	0
147	59	56	48	55	8	82	0
148	51	4	48	57	62	67	0
149	5	57	48	71	61	66	0
150	6	46	48	45	81	83	0
151	37	47	48	39	76	79	0
152	58	55	48	57	7	74	0
153	36	47	48	51	69	72	0
154	39	41	48	52	72	75	0
155	35	51	48	61	71	74	0
156	31	44	48	5	79	82	0
157	61	66	48	46	87	88	0
158	48	49	48	52	77	71	0
159	11	5	48	58	72	68	0
160	31	36	48	58	94	94	0
161	68	51	48	71	75	78	0
162	69	39	48	57	76	79	0
163	52	54	48	62	76	79	0
164	46	59	48	36	76	23	0
165	36	45	48	38	79	17	0
166	0	51	48	35	67	44	0
167	1	49	48	41	67	21	0
168	3	51	48	42	61	34	0
169	61	47	48	0	8	32	0
170	63	75	48	64	73	66	0
171	71	52	48	64	1	99	0
172	78	68	48	83	4	29	1
173	63	69	48	65	41	28	1
174	67	88	48	73	5	25	1
175	61	75	48	51	33	33	1
176	67	84	48	74	54	37	1
177	74	9	48	57	53	29	1
178	73	84	48	86	58	29	1
179	75	76	48	83	57	3	1
180	77	57	48	88	53	2	1
181	74	78	48	75	54	15	1
182	68	76	48	84	45	27	1
183	56	68	48	77	36	45	1
184	65	51	48	66	54	33	1
185	52	81	48	72	38	38	1
186	64	57	48	7	33	26	1
187	6	76	1	77	59	52	1
188	69	59	48	77	39	21	1
189	63	49	48	79	45	28	1
190	71	71	48	68	43	36	1
191	68	63	48	73	4	3	1
